,Type,Price,Location,Baths,Area,Beds
5764,Room,PKR36 Thousand,"Cantt, Lahore, Punjab",1,10 Marla,1
5765,House,PKR2.3 Lakh,"Model Town, Lahore, Punjab",6,1 Kanal,5
5766,House,PKR2.3 Lakh,"Model Town, Lahore, Punjab",6,1 Kanal,5
5767,Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
5768,House,PKR85 Thousand,"IEP Engineers Town, Lahore, Punjab",5,10 Marla,5
5769,House,PKR1.5 Lakh,"PCSIR Staff Colony, Lahore, Punjab",6,1 Kanal,6
5770,House,PKR70 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,1 Kanal,3
5771,Lower Portion,PKR55 Thousand,"IEP Engineers Town, Lahore, Punjab",3,1 Kanal,3
5772,Lower Portion,PKR40 Thousand,"Punjab Govt Employees Society, Lahore, Punjab",2,10 Marla,2
5773,Lower Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",-,10 Marla,-
5774,House,PKR1.29 Lakh,"Eden, Lahore, Punjab",5,10 Marla,4
5775,Upper Portion,PKR58 Thousand,"Divine Gardens, Lahore, Punjab",3,12 Marla,3
5776,Lower Portion,PKR24 Thousand,"Super Town, Lahore, Punjab",2,4 Marla,1
5777,Upper Portion,PKR50 Thousand,"State Life Housing Society, Lahore, Punjab",3,10 Marla,3
5778,House,PKR27 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
5779,House,PKR70 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
5780,House,PKR1.59 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
5781,Lower Portion,PKR24 Thousand,"Walton Road, Lahore, Punjab",2,5 Marla,2
5782,House,PKR20 Thousand,"Jubilee Town, Lahore, Punjab",1,3 Marla,2
5783,House,PKR40 Thousand,"Jubilee Town, Lahore, Punjab",3,3 Marla,4
5784,House,PKR69 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
5785,Flat,PKR65 Thousand,"Bahria Town, Lahore, Punjab",1,2.3 Marla,1
5786,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.3 Marla,1
5787,Upper Portion,PKR55 Thousand,"Airline Housing Society, Lahore, Punjab",4,10 Marla,3
5788,House,PKR2.6 Lakh,"Eden, Lahore, Punjab",7,1 Kanal,6
5789,House,PKR1.15 Lakh,"Bahria Town, Lahore, Punjab",6,11 Marla,5
5790,Upper Portion,PKR48 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
5791,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
5792,Upper Portion,PKR70 Thousand,"OPF Housing Scheme, Lahore, Punjab",4,1 Kanal,4
5793,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
5794,House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
5795,House,PKR75 Thousand,"PIA Main Boulevard, Lahore, Punjab",4,8 Marla,4
5796,House,PKR60 Thousand,"Johar Town, Lahore, Punjab",4,5 Marla,4
5797,House,PKR1 Lakh,"Johar Town, Lahore, Punjab",4,7.5 Marla,4
5798,Upper Portion,PKR35 Thousand,"PIA Housing Scheme, Lahore, Punjab",3,12 Marla,3
5799,Upper Portion,PKR45 Thousand,"Race View, Lahore, Punjab",2,9 Marla,2
5800,Lower Portion,PKR25 Thousand,"PIA Housing Scheme, Lahore, Punjab",1,8 Marla,1
5801,Upper Portion,PKR65 Thousand,"PIA Housing Scheme, Lahore, Punjab",3,10 Marla,3
5802,Upper Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
5803,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
5804,Upper Portion,PKR20 Thousand,"GT Road, Lahore, Punjab",2,4 Marla,2
