,Type,Price,Location,Baths,Area,Beds
0,Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,2
1,Upper Portion,PKR40 Thousand,"Expo Avenue Society, Lahore, Punjab",3,10 Marla,3
2,Upper Portion,PKR47 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
3,House,PKR5.95 Lakh,"Gulberg, Lahore, Punjab",7,2 Kanal,6
4,House,PKR5 Lakh,"Muslim Town, Lahore, Punjab",7,2 Kanal,5
5,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",7,4 Kanal,6
6,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,6
7,House,PKR4.1 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5
8,House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",6,2 Kanal,6
9,House,PKR9.5 Lakh,"Gulberg, Lahore, Punjab",10,2.1 Kanal,6
10,Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
11,House,PKR15 Lakh,"Gulberg, Lahore, Punjab",10,4 Kanal,7
12,House,PKR5.5 Lakh,"Gulberg, Lahore, Punjab",8,2 Kanal,4
13,House,PKR4 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
14,House,PKR15 Lakh,"Garden Town, Lahore, Punjab",10,4 Kanal,7
15,Lower Portion,PKR30 Thousand,"Government Employees Cooperative Housing Society (GECHS), Lahore, Punjab",2,5 Marla,2
16,Upper Portion,PKR18 Thousand,"Township, Lahore, Punjab",2,5 Marla,2
17,Room,PKR22 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,10 Marla,1
18,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
19,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
20,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
21,House,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
22,House,PKR40 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
23,Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
24,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
25,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
26,House,PKR46 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,8 Marla,2
27,Lower Portion,PKR37 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
28,Upper Portion,PKR36 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,8 Marla,2
29,Flat,PKR75 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
30,Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
31,House,PKR1.4 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
32,Flat,PKR13 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,3 Marla,1
33,Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",1,8 Marla,1
34,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
35,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
36,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
37,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
38,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
39,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
40,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
41,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
42,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
43,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
44,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
45,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
46,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
47,House,PKR2.9 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,6
48,House,PKR92 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
49,House,PKR1.64 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
50,Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
51,House,PKR1.45 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,6
52,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,4
53,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,1.8 Marla,1
54,Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,3.1 Marla,2
55,Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
56,Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
57,Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
58,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3
59,House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
60,House,PKR70 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
61,House,PKR1.9 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
62,Lower Portion,PKR53 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
63,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,13 Marla,3
64,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
65,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
66,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
67,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
68,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
69,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
70,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
71,House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
72,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
73,House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
74,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
75,House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
76,House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
77,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
78,Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,1
79,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,5 Marla,4
80,House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
81,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5
82,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5
83,Room,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,2.2 Marla,1
84,House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
85,House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
86,Upper Portion,PKR2 Lakh,"DHA Defence, Lahore, Punjab",2,2 Kanal,3
87,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
88,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
89,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
90,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
91,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
92,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
93,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
94,House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
95,House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
96,House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
97,House,PKR4.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,2 Kanal,6
98,House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
99,House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
100,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
101,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
102,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",5,1.5 Kanal,5
103,House,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,3 Marla,1
104,House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
105,Upper Portion,PKR55 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3
106,Upper Portion,PKR15 Thousand,"Al Rehman Garden, Lahore, Punjab",3,3 Marla,2
107,House,PKR22 Thousand,"Al Rehman Garden, Lahore, Punjab",3,4 Marla,1
108,House,PKR25 Thousand,"Al Rehman Garden, Lahore, Punjab",3,5 Marla,2
109,Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
110,Flat,PKR23 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,3 Marla,2
111,House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",5,6 Marla,5
112,House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
113,House,PKR1.3 Lakh,"Park View City, Lahore, Punjab",5,10 Marla,5
114,Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",3,10 Marla,2
115,House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",6,6 Marla,5
116,House,PKR1.1 Lakh,"Eden, Lahore, Punjab",4,12 Marla,4
117,Upper Portion,PKR25 Thousand,"Sultan Town, Lahore, Punjab",2,3 Marla,2
118,House,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,5 Marla,3
119,House,PKR1.85 Lakh,"Wapda Town, Lahore, Punjab",5,1 Kanal,5
120,Lower Portion,PKR38 Thousand,"Cavalry Ground, Lahore, Punjab",1,7 Marla,1
121,Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",4,10 Marla,3
122,Upper Portion,PKR60 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,1 Kanal,3
123,Upper Portion,PKR45 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,10 Marla,3
124,Upper Portion,PKR65 Thousand,"Cavalry Ground, Lahore, Punjab",3,1 Kanal,3
125,House,PKR1.32 Lakh,"Divine Gardens, Lahore, Punjab",6,10 Marla,5
126,Lower Portion,PKR70 Thousand,"Jail Road, Lahore, Punjab",2,12 Marla,2
127,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,3
128,Upper Portion,PKR47 Thousand,"Paragon City, Lahore, Punjab",2,10 Marla,2
129,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
130,Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
131,Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
132,House,PKR2 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4
133,House,PKR1.65 Lakh,"Ring Road, Lahore, Punjab",5,10 Marla,4
134,House,PKR1.5 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4
135,Lower Portion,PKR1.25 Lakh,"Ring Road, Lahore, Punjab",2,10 Marla,2
136,Upper Portion,PKR75 Thousand,"Jail Road, Lahore, Punjab",4,1 Kanal,3
137,House,PKR1.2 Lakh,"Park View City, Lahore, Punjab",-,10 Marla,-
138,Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,3.1 Marla,2
139,Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,1.8 Marla,1
140,Flat,PKR19 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1
141,House,PKR40 Thousand,"Bahria Nasheman, Lahore, Punjab",4,5 Marla,3
142,Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,3
143,House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",7,8 Marla,5
144,Upper Portion,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
145,Upper Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,2
146,Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
147,Upper Portion,PKR30 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2
148,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2
149,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
150,Upper Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
151,Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
152,Upper Portion,PKR47 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
153,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
154,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
155,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
156,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
157,Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
158,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
159,Flat,PKR42 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
160,Upper Portion,PKR25 Thousand,"Bahria Town, Lahore, Punjab",1,7 Marla,1
161,Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
162,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
163,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
164,Upper Portion,PKR26 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2
165,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
166,Lower Portion,PKR30 Thousand,"Garhi Shahu, Lahore, Punjab",3,5 Marla,3
167,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",5,10 Marla,3
168,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
169,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
170,Upper Portion,PKR28 Thousand,"Park View City, Lahore, Punjab",-,5 Marla,-
171,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
172,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
173,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
174,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
175,House,PKR1.7 Lakh,"Model Town, Lahore, Punjab",4,18 Marla,4
176,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
177,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
178,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
179,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
180,Lower Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
181,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
182,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
183,Upper Portion,PKR35 Thousand,"Eden Avenue Extension, Lahore, Punjab",2,8 Marla,2
184,House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
185,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
186,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
187,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",8,1.5 Kanal,7
188,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
189,House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
190,House,PKR1.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",5,1 Kanal,5
191,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
192,House,PKR4.5 Lakh,"Cantt, Lahore, Punjab",6,1.6 Kanal,5
193,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
194,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
195,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
196,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
197,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
198,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
199,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
200,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
201,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
202,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",8,1.5 Kanal,7
203,Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
204,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
205,House,PKR2.05 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4
206,House,PKR2.1 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,5
207,House,PKR2.1 Lakh,"Cantt, Lahore, Punjab",5,1 Kanal,5
208,House,PKR1.2 Lakh,"Cantt, Lahore, Punjab",5,10 Marla,4
209,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1.2 Kanal,2
210,House,PKR80 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4
211,House,PKR83 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4
212,House,PKR60 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3
213,House,PKR75 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4
214,House,PKR78 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4
215,House,PKR95 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
216,House,PKR90 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
217,House,PKR65 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3
218,House,PKR55 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3
219,Flat,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
220,House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
221,House,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,5 Marla,3
222,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
223,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
224,Flat,PKR1.95 Lakh,"Cantt, Lahore, Punjab",3,12.4 Marla,3
225,House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,5 Marla,3
226,House,PKR3.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
227,Flat,PKR1.45 Lakh,"DHA Defence, Lahore, Punjab",1,3.3 Marla,1
228,Lower Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
229,Flat,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",1,3.8 Marla,1
230,House,PKR3.98 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
231,Flat,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",1,5.4 Marla,1
232,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
233,House,PKR85 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
234,House,PKR3.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
235,House,PKR63 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3
236,House,PKR70 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3
237,House,PKR6.5 Lakh,"Gulberg, Lahore, Punjab",4,1.5 Kanal,4
238,House,PKR93 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
239,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
240,House,PKR87 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
241,House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
242,House,PKR1.6 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
243,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
244,House,PKR95 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
245,House,PKR80 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
246,Flat,PKR2.95 Lakh,"Airport Road, Lahore, Punjab",3,8 Marla,3
247,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
248,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
249,Upper Portion,PKR58 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
250,House,PKR1.15 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
251,Upper Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,2
252,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
253,Lower Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
254,House,PKR65 Thousand,"Central Park Housing Scheme, Lahore, Punjab",6,10 Marla,5
255,House,PKR45 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,5 Marla,3
256,Upper Portion,PKR40 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,10 Marla,3
257,Upper Portion,PKR60 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,1 Kanal,3
258,House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5
259,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",8,2 Kanal,8
260,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
261,Flat,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",3,5.5 Marla,2
262,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
263,Lower Portion,PKR1.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
264,Lower Portion,PKR28 Thousand,"Harbanspura Road, Lahore, Punjab",2,5 Marla,2
265,Upper Portion,PKR1 Lakh,"Bahria Town, Lahore, Punjab",4,10 Marla,3
266,House,PKR95 Thousand,"Wapda Town, Lahore, Punjab",5,10 Marla,5
267,Lower Portion,PKR85 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
268,House,PKR85 Thousand,"Wapda Town, Lahore, Punjab",4,10 Marla,4
269,House,PKR1 Lakh,"Wapda Town, Lahore, Punjab",5,10 Marla,5
270,House,PKR1.2 Lakh,"Wapda Town, Lahore, Punjab",5,10 Marla,5
271,Upper Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
272,Upper Portion,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
273,Lower Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
274,Upper Portion,PKR50 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3
275,Lower Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
276,Room,PKR5.5 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
277,House,PKR1.3 Lakh,"Johar Town, Lahore, Punjab",5,12 Marla,4
278,Upper Portion,PKR67 Thousand,"Wapda Town, Lahore, Punjab",4,1 Kanal,3
279,Lower Portion,PKR1.55 Lakh,"Nasheman-e-Iqbal, Lahore, Punjab",5,2 Kanal,3
280,Room,PKR5.5 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
281,Upper Portion,PKR65 Thousand,"PIA Housing Scheme, Lahore, Punjab",2,1 Kanal,2
282,Upper Portion,PKR55 Thousand,"Gosha-e-Ahbab, Lahore, Punjab",3,1 Kanal,3
283,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
284,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
285,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
286,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
287,Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
288,Lower Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
289,Upper Portion,PKR29 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
290,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
291,Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
292,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
293,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
294,Upper Portion,PKR38 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,2
295,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
296,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
297,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
298,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
299,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
300,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
301,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
302,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
303,Lower Portion,PKR2.5 Lakh,"Kalma Chowk, Lahore, Punjab",3,2 Kanal,3
304,Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
